Date,Open,High,Low,Close,Adj Close,Volume
1993-08-19,10.781250,10.812500,10.687500,10.750000,5.734915,6257200
1993-08-20,10.750000,10.812500,10.656250,10.781250,5.751585,6784400
1993-08-23,10.781250,11.187500,10.750000,11.093750,5.918295,10530000
1993-08-24,11.125000,11.156250,10.906250,10.968750,5.851613,6091200
1993-08-25,11.000000,11.031250,10.875000,11.000000,5.868284,5284800
1993-08-26,11.031250,11.187500,10.906250,11.000000,5.868284,7414400
1993-08-27,10.968750,11.031250,10.906250,11.031250,5.884952,3897600
1993-08-30,11.031250,11.187500,11.031250,11.156250,5.951639,6230400
1993-08-31,11.187500,11.468750,11.187500,11.437500,6.101681,9854400
1993-09-01,11.437500,11.593750,11.406250,11.468750,6.118353,7955600
1993-09-02,11.500000,11.593750,11.437500,11.500000,6.135025,4744400
1993-09-03,11.562500,11.593750,11.406250,11.437500,6.101681,4112000
1993-09-07,11.531250,11.562500,11.312500,11.375000,6.068337,5301600
1993-09-08,11.312500,11.343750,10.937500,11.093750,5.918295,9416000
1993-09-09,11.062500,11.156250,11.031250,11.093750,5.918295,7043200
1993-09-10,11.156250,11.156250,10.875000,10.937500,5.834942,8658800
1993-09-13,10.968750,11.093750,10.875000,10.968750,5.851613,5436400
1993-09-14,10.968750,10.968750,10.843750,10.875000,5.801600,4358400
1993-09-15,10.875000,10.968750,10.812500,10.906250,5.818268,7725200
1993-09-16,10.875000,11.000000,10.843750,10.875000,5.801600,3154000
1993-09-17,10.812500,10.843750,10.687500,10.843750,5.784923,12769200
1993-09-20,10.812500,10.843750,10.562500,10.562500,5.634887,5320000
1993-09-21,10.625000,10.656250,10.468750,10.531250,5.618215,7419200
1993-09-22,10.562500,10.625000,10.406250,10.468750,5.584871,6836400
1993-09-23,10.500000,10.593750,10.437500,10.468750,5.584871,7690000
1993-09-24,10.468750,10.500000,10.375000,10.437500,5.568202,5220800
1993-09-27,10.437500,10.468750,10.375000,10.437500,5.568202,6416800
1993-09-28,10.437500,10.656250,10.406250,10.437500,5.568202,9495600
1993-09-29,10.437500,10.531250,10.312500,10.406250,5.551528,8784800
